seq	pos	mod	bio	strand	depth	gene	sample_group	seq_tech	lap_type
3	2117746	m1G	CDS	-	996	AT3G06700	Col0_ABA	GMUCT	CDS
3	5144246	D	CDS	-	403.5	AT3G15280	Col0_ABA	GMUCT	CDS
3	5180918	Y	CDS	-	678	AT3G15353	Col0_ABA	GMUCT	CDS
3	5180920	m1G	CDS	-	1004	AT3G15353	Col0_ABA	GMUCT	CDS
3	5580201	m3C	CDS	+	1087	AT3G16420	Col0_ABA	GMUCT	CDS
3	5580204	i6A|t6A	CDS	+	930	AT3G16420	Col0_ABA	GMUCT	CDS
3	7140755	m1G	CDS	-	242	AT3G20470	Col0_ABA	GMUCT	CDS
3	7140756	Y	CDS	-	243.5	AT3G20470	Col0_ABA	GMUCT	CDS
3	7652839	Y	CDS	-	6123.5	AT3G21720	Col0_ABA	GMUCT	CDS
3	7652840	m3C	CDS	-	8050.5	AT3G21720	Col0_ABA	GMUCT	CDS
3	7652841	m1G	CDS	-	13360.5	AT3G21720	Col0_ABA	GMUCT	CDS
3	7652842	m1A|m1I|ms2i6A	CDS	-	15564	AT3G21720	Col0_ABA	GMUCT	CDS
3	7652843	m1G	CDS	-	18418	AT3G21720	Col0_ABA	GMUCT	CDS
3	8411660	Y	CDS	+	1857	AT3G23450	Col0_ABA	GMUCT	CDS
3	8411669	m3C	CDS	+	1136	AT3G23450	Col0_ABA	GMUCT	CDS
3	9306346	Y	CDS	+	84.5	AT3G25597	Col0_ABA	GMUCT	CDS
3	9723398	Y	CDS	-	165.5	AT3G26520	Col0_ABA	GMUCT	CDS
3	16528649	m1G	CDS	+	444.5	AT3G45140	Col0_ABA	GMUCT	CDS
3	17493909	Y	CDS	-	1675.5	AT3G47470	Col0_ABA	GMUCT	CDS
3	17493912	m3C	CDS	-	2118.5	AT3G47470	Col0_ABA	GMUCT	CDS
3	19225896	D	CDS	-	509	AT3G51840	Col0_ABA	GMUCT	CDS
3	20778350	m1A|m1I|ms2i6A	CDS	+	226.5	AT3G55980	Col0_ABA	GMUCT	CDS
3	22605440	Y	CDS	-	61	AT3G61070	Col0_ABA	GMUCT	CDS
3	23052785	m1A|m1I|ms2i6A	CDS	+	2909.5	AT3G62290	Col0_ABA	GMUCT	CDS
3	23052786	m3C	CDS	+	2869.5	AT3G62290	Col0_ABA	GMUCT	CDS
3	23091106	Y	CDS	+	228.5	AT3G62410	Col0_ABA	GMUCT	CDS
4	14277	i6A|t6A	CDS	+	144.5	AT4G00030	Col0_ABA	GMUCT	CDS
4	695304	Y	CDS	+	854.5	AT4G01610	Col0_ABA	GMUCT	CDS
4	696705	D	CDS	+	2245.5	AT4G01610	Col0_ABA	GMUCT	CDS
4	808616	m1G	CDS	-	228	AT4G01870	Col0_ABA	GMUCT	CDS
4	1074385	D	CDS	-	256	AT4G02450	Col0_ABA	GMUCT	CDS
4	7806044	m1G	CDS	-	131.5	AT4G13430	Col0_ABA	GMUCT	CDS
4	8917551	Y	CDS	+	239.5	AT4G15630	Col0_ABA	GMUCT	CDS
4	9192404	Y	CDS	-	198.5	AT4G16240	Col0_ABA	GMUCT	CDS
4	12337232	m1G	CDS	-	1531	AT4G23680	Col0_ABA	GMUCT	CDS
4	12337233	D	CDS	-	1655	AT4G23680	Col0_ABA	GMUCT	CDS
4	13727761	m1G	CDS	-	154.5	AT4G27450	Col0_ABA	GMUCT	CDS
4	14305361	m1G	CDS	+	1054.5	AT4G29020	Col0_ABA	GMUCT	CDS
4	14305455	Y	CDS	+	156.5	AT4G29020	Col0_ABA	GMUCT	CDS
4	16169690	i6A|t6A	CDS	-	235.5	AT4G33670	Col0_ABA	GMUCT	CDS
4	16234100	i6A|t6A	CDS	-	830	AT4G33865	Col0_ABA	GMUCT	CDS
4	16348398	m1G	CDS	-	764.5	AT4G34138	Col0_ABA	GMUCT	CDS
4	16348399	i6A|t6A	CDS	-	1107	AT4G34138	Col0_ABA	GMUCT	CDS
4	16558216	Y	CDS	+	352.5	AT4G34700	Col0_ABA	GMUCT	CDS
4	16614749	m1A|m1I|ms2i6A	CDS	+	1354.5	AT4G34870	Col0_ABA	GMUCT	CDS
4	16614750	m1G	CDS	+	1286.5	AT4G34870	Col0_ABA	GMUCT	CDS
4	16614751	m1G	CDS	+	1198	AT4G34870	Col0_ABA	GMUCT	CDS
4	16614752	i6A|t6A	CDS	+	1074.5	AT4G34870	Col0_ABA	GMUCT	CDS
5	507152	D	CDS	-	440.5	AT5G02380	Col0_ABA	GMUCT	CDS
5	1032502	m1G	CDS	-	4783	AT5G03860	Col0_ABA	GMUCT	CDS
5	1032503	m3C	CDS	-	4944.5	AT5G03860	Col0_ABA	GMUCT	CDS
5	2094754	D	CDS	-	89	AT5G06780	Col0_ABA	GMUCT	CDS
5	3916360	D	CDS	-	822	AT5G12120	Col0_ABA	GMUCT	CDS
5	8279068	Y	CDS	+	106.5	AT5G24314	Col0_ABA	GMUCT	CDS
5	16781171	Y	CDS	+	146	AT5G41920	Col0_ABA	GMUCT	CDS
5	17170621	m1G	CDS	-	388	AT5G42820	Col0_ABA	GMUCT	CDS
5	17170624	m3C	CDS	-	505.5	AT5G42820	Col0_ABA	GMUCT	CDS
5	17789628	D	CDS	+	122.5	AT5G44180	Col0_ABA	GMUCT	CDS
5	21239110	D	CDS	+	626	AT5G52300	Col0_ABA	GMUCT	CDS
5	26149946	Y	CDS	-	92	AT5G65430	Col0_ABA	GMUCT	CDS
Pt	25829	m1G	CDS	-	117.5	ATCG00190	Col0_ABA	GMUCT	CDS
1	50508	Y	exon	-	446.5	AT1G01100.2.exon3	Col0_ABA	GMUCT	exon
1	225838	Y	exon	-	197.5	AT1G01620.1.exon4	Col0_ABA	GMUCT	exon
1	1142844	m1G	exon	-	557	AT1G04270.1.exon2	Col0_ABA	GMUCT	exon
1	1828858	m1G	exon	-	157.5	AT1G06040.1.exon3	Col0_ABA	GMUCT	exon
1	3159259	m1G	exon	-	262	AT1G09760.1.exon8	Col0_ABA	GMUCT	exon
1	3159260	Y	exon	-	285	AT1G09760.1.exon8	Col0_ABA	GMUCT	exon
1	3159261	D	exon	-	299.5	AT1G09760.1.exon8	Col0_ABA	GMUCT	exon
1	3755761	m1A|m1I|ms2i6A	exon	-	171.5	AT1G11210.1.exon2	Col0_ABA	GMUCT	exon
1	4090037	Y	exon	-	2233	AT1G12090.1.exon1	Col0_ABA	GMUCT	exon
1	5401181	D	exon	+	174	AT1G15690.2.exon5	Col0_ABA	GMUCT	exon
1	5765190	m1G	exon	-	151	AT1G16850.1.exon2	Col0_ABA	GMUCT	exon
1	6568537	Y	exon	+	192.5	AT1G19020.1.exon1	Col0_ABA	GMUCT	exon
1	7145758	m3C	exon	+	3402.5	AT1G20620.4.exon4	Col0_ABA	GMUCT	exon
1	7145759	Y	exon	+	3217	AT1G20620.4.exon4	Col0_ABA	GMUCT	exon
1	7145760	i6A|t6A	exon	+	2569.5	AT1G20620.4.exon4	Col0_ABA	GMUCT	exon
1	7875732	D	exon	+	671.5	AT1G22280.1.exon6	Col0_ABA	GMUCT	exon
1	8861289	Y	exon	+	252.5	AT1G25275.1.exon3	Col0_ABA	GMUCT	exon
1	9076365	D	exon	-	2038.5	AT1G05993.1.exon1	Col0_ABA	GMUCT	exon
1	9089714	D	exon	-	144.5	AT1G26270.1.exon2	Col0_ABA	GMUCT	exon
1	9089718	Y	exon	-	343	AT1G26270.1.exon2	Col0_ABA	GMUCT	exon
1	9404166	Y	exon	-	546.5	AT1G27090.1.exon4	Col0_ABA	GMUCT	exon
1	9404168	Y	exon	-	725.5	AT1G27090.1.exon4	Col0_ABA	GMUCT	exon
1	9934008	m1G	exon	-	1020.5	AT1G28330.1.exon3	Col0_ABA	GMUCT	exon
1	19128708	D	exon	-	155.5	AT1G51590.2.exon13	Col0_ABA	GMUCT	exon
1	19475089	Y	exon	-	243	AT1G52300.1.exon4	Col0_ABA	GMUCT	exon
1	23790582	Y	exon	+	70	AT1G64090.1.exon5	Col0_ABA	GMUCT	exon
1	23955125	Y	exon	-	144	AT1G64510.1.exon2	Col0_ABA	GMUCT	exon
1	24648354	m1G	exon	+	459	AT1G66180.1.exon1	Col0_ABA	GMUCT	exon
1	24686778	m1A|m1I|ms2i6A	exon	-	1001	AT1G66240.1.exon2	Col0_ABA	GMUCT	exon
1	25734512	D	exon	-	931.5	AT1G68560.1.exon3	Col0_ABA	GMUCT	exon
1	26564865	m1G	exon	-	292.5	AT1G70490.5.exon3	Col0_ABA	GMUCT	exon
1	26564867	m3C	exon	-	667	AT1G70490.5.exon3	Col0_ABA	GMUCT	exon
1	26564868	m1A|m1I|ms2i6A	exon	-	781	AT1G70490.5.exon3	Col0_ABA	GMUCT	exon
1	27835333	Y	exon	-	63	AT1G74020.1.exon3	Col0_ABA	GMUCT	exon
1	28460674	Y	exon	+	366	AT1G75800.1.exon3	Col0_ABA	GMUCT	exon
1	28460675	m1G	exon	+	309.5	AT1G75800.1.exon3	Col0_ABA	GMUCT	exon
1	28460677	Y	exon	+	291.5	AT1G75800.1.exon3	Col0_ABA	GMUCT	exon
2	528840	D	exon	+	745.5	AT2G02100.1.exon2	Col0_ABA	GMUCT	exon
2	1104445	D	exon	-	90	AT2G03640.1.exon9	Col0_ABA	GMUCT	exon
2	1967588	D	exon	+	22770	AT2G05380.1.exon2	Col0_ABA	GMUCT	exon
2	1967589	m1G	exon	+	19936	AT2G05380.1.exon2	Col0_ABA	GMUCT	exon
2	1967590	m1G	exon	+	19184	AT2G05380.1.exon2	Col0_ABA	GMUCT	exon
2	1967591	D	exon	+	17240.5	AT2G05380.1.exon2	Col0_ABA	GMUCT	exon
2	5539678	D	exon	-	563.5	AT2G13360.2.exon4	Col0_ABA	GMUCT	exon
2	7837892	Y	exon	+	712.5	AT2G18020.1.exon2	Col0_ABA	GMUCT	exon
2	7837893	m1G	exon	+	622	AT2G18020.1.exon2	Col0_ABA	GMUCT	exon
2	7837895	i6A|t6A	exon	+	576.5	AT2G18020.1.exon2	Col0_ABA	GMUCT	exon
2	7898404	D	exon	-	399.5	AT2G18160.1.exon1	Col0_ABA	GMUCT	exon
2	8911990	Y	exon	-	378	AT2G20670.1.exon3	Col0_ABA	GMUCT	exon
2	9037558	D	exon	-	734.5	AT2G21060.1.exon1	Col0_ABA	GMUCT	exon
2	9637474	D	exon	+	73.5	AT2G22670.2.exon2	Col0_ABA	GMUCT	exon
2	10559868	m1G	exon	+	524	AT2G24762.1.exon1	Col0_ABA	GMUCT	exon
2	10559870	m1G	exon	+	450	AT2G24762.1.exon1	Col0_ABA	GMUCT	exon
2	11079478	Y	exon	-	97	AT2G25980.1.exon2	Col0_ABA	GMUCT	exon
2	13499547	m1G	exon	+	307.5	AT2G31750.1.exon2	Col0_ABA	GMUCT	exon
2	13499549	m1G	exon	+	302.5	AT2G31750.1.exon2	Col0_ABA	GMUCT	exon
2	13499547	m1G	exon	+	307.5	AT2G31751.1.exon3	Col0_ABA	GMUCT	exon
2	13499549	m1G	exon	+	302.5	AT2G31751.1.exon3	Col0_ABA	GMUCT	exon
2	13864005	Y	exon	-	707.5	AT2G32690.1.exon1	Col0_ABA	GMUCT	exon
2	13864008	m3C	exon	-	1086	AT2G32690.1.exon1	Col0_ABA	GMUCT	exon
2	13864032	m1G	exon	-	1513	AT2G32690.1.exon1	Col0_ABA	GMUCT	exon
2	13864034	m1G	exon	-	1655.5	AT2G32690.1.exon1	Col0_ABA	GMUCT	exon
2	13864035	i6A|t6A	exon	-	1662	AT2G32690.1.exon1	Col0_ABA	GMUCT	exon
2	13864071	i6A|t6A	exon	-	2266.5	AT2G32690.1.exon1	Col0_ABA	GMUCT	exon
2	13864072	m1G	exon	-	2469	AT2G32690.1.exon1	Col0_ABA	GMUCT	exon
2	13864073	m1G	exon	-	2865	AT2G32690.1.exon1	Col0_ABA	GMUCT	exon
2	13864074	m3C	exon	-	3119.5	AT2G32690.1.exon1	Col0_ABA	GMUCT	exon
2	14532889	m1G	exon	-	2924	AT2G34480.1.exon4	Col0_ABA	GMUCT	exon
2	14532890	m1G	exon	-	3045.5	AT2G34480.1.exon4	Col0_ABA	GMUCT	exon
2	14532891	Y	exon	-	3039	AT2G34480.1.exon4	Col0_ABA	GMUCT	exon
2	14532892	Y	exon	-	3040.5	AT2G34480.1.exon4	Col0_ABA	GMUCT	exon
2	15029581	Y	exon	-	896	AT2G08765.1.exon1	Col0_ABA	GMUCT	exon
2	15170505	m3C	exon	+	810	AT2G36160.1.exon3	Col0_ABA	GMUCT	exon
2	15170506	m1A|m1I|ms2i6A	exon	+	800	AT2G36160.1.exon3	Col0_ABA	GMUCT	exon
2	15170507	m3C	exon	+	745	AT2G36160.1.exon3	Col0_ABA	GMUCT	exon
2	15635367	m1A|m1I|ms2i6A	exon	-	347	AT2G37220.1.exon3	Col0_ABA	GMUCT	exon
2	16645251	D	exon	+	135	AT2G39870.1.exon4	Col0_ABA	GMUCT	exon
2	18425891	m1G	exon	+	1749	AT2G44670.1.exon2	Col0_ABA	GMUCT	exon
2	18799861	Y	exon	-	140.5	AT2G45640.1.exon6	Col0_ABA	GMUCT	exon
2	19458604	Y	exon	+	148	AT2G47420.1.exon2	Col0_ABA	GMUCT	exon
2	19611819	D	exon	-	156.5	AT2G47900.1.exon4	Col0_ABA	GMUCT	exon
2	19611820	m3C	exon	-	158.5	AT2G47900.1.exon4	Col0_ABA	GMUCT	exon
2	19611821	D	exon	-	376.5	AT2G47900.1.exon4	Col0_ABA	GMUCT	exon
3	511136	m1A|m1I|ms2i6A	exon	+	1928	AT3G02470.1.exon3	Col0_ABA	GMUCT	exon
3	511137	m1G	exon	+	1887.5	AT3G02470.1.exon3	Col0_ABA	GMUCT	exon
3	512863	m1A|m1I|ms2i6A	exon	+	697.5	AT3G02480.1.exon3	Col0_ABA	GMUCT	exon
3	868015	D	exon	-	102.5	AT3G03600.1.exon1	Col0_ABA	GMUCT	exon
3	2117746	m1G	exon	-	996	AT3G06700.1.exon2	Col0_ABA	GMUCT	exon
3	2889525	Y	exon	-	5006.5	AT3G09390.1.exon2	Col0_ABA	GMUCT	exon
3	2889526	Y	exon	-	5019.5	AT3G09390.1.exon2	Col0_ABA	GMUCT	exon
3	3091165	D	exon	-	1011	AT3G10020.1.exon1	Col0_ABA	GMUCT	exon
3	4384926	m1A|m1I|ms2i6A	exon	-	461	AT3G13460.1.exon9	Col0_ABA	GMUCT	exon
3	4384927	m3C	exon	-	517.5	AT3G13460.1.exon9	Col0_ABA	GMUCT	exon
3	5144246	D	exon	-	403.5	AT3G15280.1.exon2	Col0_ABA	GMUCT	exon
3	5180918	Y	exon	-	678	AT3G15353.1.exon3	Col0_ABA	GMUCT	exon
3	5180920	m1G	exon	-	1004	AT3G15353.1.exon3	Col0_ABA	GMUCT	exon
3	5580201	m3C	exon	+	1087	AT3G16420.1.exon3	Col0_ABA	GMUCT	exon
3	5580204	i6A|t6A	exon	+	930	AT3G16420.1.exon3	Col0_ABA	GMUCT	exon
3	7140755	m1G	exon	-	242	AT3G20470.1.exon1	Col0_ABA	GMUCT	exon
3	7140756	Y	exon	-	243.5	AT3G20470.1.exon1	Col0_ABA	GMUCT	exon
3	7652839	Y	exon	-	6123.5	AT3G21720.1.exon5	Col0_ABA	GMUCT	exon
3	7652840	m3C	exon	-	8050.5	AT3G21720.1.exon5	Col0_ABA	GMUCT	exon
3	7652841	m1G	exon	-	13360.5	AT3G21720.1.exon5	Col0_ABA	GMUCT	exon
3	7652842	m1A|m1I|ms2i6A	exon	-	15564	AT3G21720.1.exon5	Col0_ABA	GMUCT	exon
3	7652843	m1G	exon	-	18418	AT3G21720.1.exon5	Col0_ABA	GMUCT	exon
3	8411660	Y	exon	+	1857	AT3G23450.1.exon1	Col0_ABA	GMUCT	exon
3	8411669	m3C	exon	+	1136	AT3G23450.1.exon1	Col0_ABA	GMUCT	exon
3	9306346	Y	exon	+	84.5	AT3G25597.1.exon1	Col0_ABA	GMUCT	exon
3	9723398	Y	exon	-	165.5	AT3G26520.1.exon1	Col0_ABA	GMUCT	exon
3	10319228	Y	exon	+	1161.5	AT3G27830.1.exon1	Col0_ABA	GMUCT	exon
3	16528649	m1G	exon	+	444.5	AT3G45140.2.exon7	Col0_ABA	GMUCT	exon
3	17493909	Y	exon	-	1675.5	AT3G47470.1.exon3	Col0_ABA	GMUCT	exon
3	17493912	m3C	exon	-	2118.5	AT3G47470.1.exon3	Col0_ABA	GMUCT	exon
3	18504848	Y	exon	+	1963.5	AT3G49910.1.exon1	Col0_ABA	GMUCT	exon
3	19225896	D	exon	-	509	AT3G51840.1.exon12	Col0_ABA	GMUCT	exon
3	20778350	m1A|m1I|ms2i6A	exon	+	226.5	AT3G55980.1.exon2	Col0_ABA	GMUCT	exon
3	22605440	Y	exon	-	61	AT3G61070.1.exon5	Col0_ABA	GMUCT	exon
3	22975297	D	exon	+	755.5	AT3G62030.1.exon7	Col0_ABA	GMUCT	exon
3	22975300	i6A|t6A	exon	+	693.5	AT3G62030.1.exon7	Col0_ABA	GMUCT	exon
3	23052785	m1A|m1I|ms2i6A	exon	+	2909.5	AT3G62290.2.exon3	Col0_ABA	GMUCT	exon
3	23052786	m3C	exon	+	2869.5	AT3G62290.2.exon3	Col0_ABA	GMUCT	exon
3	23091106	Y	exon	+	228.5	AT3G62410.1.exon1	Col0_ABA	GMUCT	exon
4	14277	i6A|t6A	exon	+	144.5	AT4G00030.1.exon3	Col0_ABA	GMUCT	exon
4	695304	Y	exon	+	854.5	AT4G01610.2.exon3	Col0_ABA	GMUCT	exon
4	696705	D	exon	+	2245.5	AT4G01610.2.exon9	Col0_ABA	GMUCT	exon
4	808616	m1G	exon	-	228	AT4G01870.1.exon1	Col0_ABA	GMUCT	exon
4	1074385	D	exon	-	256	AT4G02450.2.exon5	Col0_ABA	GMUCT	exon
4	6888845	D	exon	+	1441.5	AT4G11320.1.exon4	Col0_ABA	GMUCT	exon
4	7806044	m1G	exon	-	131.5	AT4G13430.1.exon8	Col0_ABA	GMUCT	exon
4	8917551	Y	exon	+	239.5	AT4G15630.1.exon1	Col0_ABA	GMUCT	exon
4	9192404	Y	exon	-	198.5	AT4G16240.1.exon2	Col0_ABA	GMUCT	exon
4	9301429	Y	exon	-	192.5	AT4G16500.1.exon1	Col0_ABA	GMUCT	exon
4	9714329	D	exon	-	2257	AT4G17390.1.exon4	Col0_ABA	GMUCT	exon
4	9714330	D	exon	-	2264.5	AT4G17390.1.exon4	Col0_ABA	GMUCT	exon
4	12337232	m1G	exon	-	1531	AT4G23680.1.exon1	Col0_ABA	GMUCT	exon
4	12337233	D	exon	-	1655	AT4G23680.1.exon1	Col0_ABA	GMUCT	exon
4	13727761	m1G	exon	-	154.5	AT4G27450.1.exon4	Col0_ABA	GMUCT	exon
4	14305361	m1G	exon	+	1054.5	AT4G29020.1.exon1	Col0_ABA	GMUCT	exon
4	14305455	Y	exon	+	156.5	AT4G29020.1.exon1	Col0_ABA	GMUCT	exon
4	16169690	i6A|t6A	exon	-	235.5	AT4G33670.1.exon5	Col0_ABA	GMUCT	exon
4	16234100	i6A|t6A	exon	-	830	AT4G33865.1.exon1	Col0_ABA	GMUCT	exon
4	16348398	m1G	exon	-	764.5	AT4G34138.1.exon2	Col0_ABA	GMUCT	exon
4	16348399	i6A|t6A	exon	-	1107	AT4G34138.1.exon2	Col0_ABA	GMUCT	exon
4	16348398	m1G	exon	-	764.5	AT4G34139.1.exon2	Col0_ABA	GMUCT	exon
4	16348399	i6A|t6A	exon	-	1107	AT4G34139.1.exon2	Col0_ABA	GMUCT	exon
4	16558216	Y	exon	+	352.5	AT4G34700.1.exon4	Col0_ABA	GMUCT	exon
4	16614749	m1A|m1I|ms2i6A	exon	+	1354.5	AT4G34870.1.exon1	Col0_ABA	GMUCT	exon
4	16614750	m1G	exon	+	1286.5	AT4G34870.1.exon1	Col0_ABA	GMUCT	exon
4	16614751	m1G	exon	+	1198	AT4G34870.1.exon1	Col0_ABA	GMUCT	exon
4	16614752	i6A|t6A	exon	+	1074.5	AT4G34870.1.exon1	Col0_ABA	GMUCT	exon
4	17831849	Y	exon	-	1793.5	AT4G37930.1.exon15	Col0_ABA	GMUCT	exon
4	18152144	m1G	exon	-	266.5	AT4G38932.1.exon1	Col0_ABA	GMUCT	exon
4	18152146	Y	exon	-	294	AT4G38932.1.exon1	Col0_ABA	GMUCT	exon
4	18557504	D	exon	-	4853	AT4G40040.1.exon5	Col0_ABA	GMUCT	exon
5	427131	D	exon	+	514.5	AT5G02160.1.exon2	Col0_ABA	GMUCT	exon
5	507152	D	exon	-	440.5	AT5G02380.1.exon1	Col0_ABA	GMUCT	exon
5	1032502	m1G	exon	-	4783	AT5G03860.1.exon4	Col0_ABA	GMUCT	exon
5	1032503	m3C	exon	-	4944.5	AT5G03860.1.exon4	Col0_ABA	GMUCT	exon
5	2094754	D	exon	-	89	AT5G06780.2.exon7	Col0_ABA	GMUCT	exon
5	3916360	D	exon	-	822	AT5G12110.1.exon6	Col0_ABA	GMUCT	exon
5	3916360	D	exon	-	822	AT5G12120.1.exon2	Col0_ABA	GMUCT	exon
5	6695417	D	exon	-	208	AT5G19820.1.exon19	Col0_ABA	GMUCT	exon
5	8279068	Y	exon	+	106.5	AT5G24314.1.exon4	Col0_ABA	GMUCT	exon
5	16781171	Y	exon	+	146	AT5G41920.1.exon1	Col0_ABA	GMUCT	exon
5	17170621	m1G	exon	-	388	AT5G42820.1.exon2	Col0_ABA	GMUCT	exon
5	17170624	m3C	exon	-	505.5	AT5G42820.1.exon2	Col0_ABA	GMUCT	exon
5	17170621	m1G	exon	-	388	AT5G06395.1.exon1	Col0_ABA	GMUCT	exon
5	17170624	m3C	exon	-	505.5	AT5G06395.1.exon1	Col0_ABA	GMUCT	exon
5	17789628	D	exon	+	122.5	AT5G44180.1.exon19	Col0_ABA	GMUCT	exon
5	21239110	D	exon	+	626	AT5G52300.2.exon4	Col0_ABA	GMUCT	exon
5	26149946	Y	exon	-	92	AT5G65430.1.exon1	Col0_ABA	GMUCT	exon
5	26412287	D	exon	-	219.5	AT5G66050.1.exon10	Col0_ABA	GMUCT	exon
5	26813789	D	exon	-	98	AT5G67200.1.exon2	Col0_ABA	GMUCT	exon
Mt	362602	m1A|m1I|ms2i6A	exon	-	647	ATMG01390.1.exon1	Col0_ABA	GMUCT	exon
Mt	363117	D	exon	-	1320	ATMG01390.1.exon1	Col0_ABA	GMUCT	exon
Pt	25829	m1G	exon	-	117.5	ATCG00190.1.exon1	Col0_ABA	GMUCT	exon
1	50508	Y	protein_coding	-	446.5	AT1G01100	Col0_ABA	GMUCT	gene
